employee_id,hire_date,exit_date,exit_type,exit_reason,country,site,department,job_level,gender,age,contract_type,work_model,fte,base_salary_eur,salary_band_mid_eur,compa_ratio,tenure_months,months_since_promotion,performance_rating,engagement_score
E00031,2021-09-10,,,,ES,Barcelona,Operations,L4,M,47,Permanent,Hybrid,1.0,55850,49900,1.119,57,57,4,63
E00032,2024-09-22,,,,IT,Milan,HR,L2,F,35,Permanent,Onsite,1.0,30000,32500,0.923,21,14,4,88
E00033,2024-12-25,,,,PL,Krakow,Finance,L1,M,37,Permanent,Hybrid,1.0,22300,23100,0.965,18,18,3,87
E00034,2022-01-22,2026-05-23,Voluntary,Relocation,IT,Milan,HR,L3,M,31,Fixed-term,Onsite,1.0,38900,41600,0.935,52,33,3,62
E00035,2022-07-15,,,,IT,Milan,Operations,L3,M,41,Permanent,Hybrid,1.0,42800,39500,1.084,47,26,3,59
E00036,2022-09-24,,,,DE,Munich,Operations,L3,M,27,Permanent,Onsite,1.0,64350,57800,1.113,45,45,3,82
E00037,2021-12-23,,,,PL,Krakow,Operations,L2,F,37,Permanent,Hybrid,1.0,23750,24900,0.954,54,47,3,65
E00038,2024-12-17,,,,IT,Milan,Customer Service,L1,F,37,Permanent,Hybrid,1.0,21500,23400,0.919,18,18,3,54
E00039,2023-12-21,,,,IT,Milan,Finance,L1,F,32,Permanent,Remote,1.0,31400,28600,1.098,30,30,4,55
E00040,2012-07-19,,,,PL,Krakow,Operations,L2,M,46,Permanent,Onsite,1.0,25400,24900,1.02,167,167,2,67
E00041,2025-04-26,,,,PL,Krakow,Tech,L2,F,25,Permanent,Onsite,1.0,25050,32800,0.764,14,10,3,40
E00042,2023-06-02,,,,IT,Milan,Customer Service,L2,M,31,Permanent,Onsite,0.8,32450,29200,1.111,36,19,4,58
E00043,2026-02-25,,,,IT,Milan,Tech,L4,M,37,Permanent,Remote,1.0,65050,68200,0.954,4,4,3,62
E00044,2024-11-08,,,,PL,Krakow,Operations,L3,M,25,Permanent,Hybrid,1.0,34100,31900,1.069,19,19,2,56
E00045,2023-09-14,,,,IT,Milan,Finance,L2,F,35,Permanent,Remote,1.0,34050,35800,0.951,33,20,2,63
E00046,2012-07-14,,,,IT,Milan,Tech,L2,F,52,Fixed-term,Hybrid,1.0,39350,40600,0.969,167,19,3,74
E00047,2025-12-27,,,,IT,Milan,Tech,L3,F,36,Permanent,Hybrid,1.0,45000,52000,0.865,6,6,5,61
E00048,2025-02-21,,,,PL,Krakow,Tech,L2,F,20,Permanent,Hybrid,1.0,34850,32800,1.062,16,10,5,65
E00049,2025-10-03,,,,ES,Barcelona,Customer Service,L5,F,21,Permanent,Hybrid,1.0,62050,65200,0.952,8,8,5,85
E00050,2024-11-23,,,,ES,Barcelona,Finance,L4,F,24,Permanent,Onsite,1.0,54000,57800,0.934,19,19,3,77
E00051,2026-03-31,,,,DE,Munich,Customer Service,L1,F,25,Permanent,Onsite,1.0,31700,34200,0.927,3,3,2,54
E00052,2025-07-25,2025-08-15,Involuntary,End of fixed-term contract,ES,Barcelona,Customer Service,L2,F,29,Fixed-term,Remote,1.0,29000,28100,1.032,1,1,3,58
E00053,2024-09-08,,,,PL,Krakow,HR,L4,F,33,Permanent,Hybrid,1.0,52850,44100,1.198,21,15,4,78
E00054,2024-09-18,,,,ES,Barcelona,Customer Service,L4,M,29,Permanent,Hybrid,0.8,40100,47200,0.85,21,21,3,53
E00055,2024-08-24,,,,PL,Krakow,Customer Service,L4,F,40,Fixed-term,Remote,1.0,38100,39700,0.96,22,22,4,73
E00056,2014-04-22,2026-05-26,Voluntary,Career progression,PL,Krakow,Customer Service,L5,F,39,Permanent,Hybrid,1.0,60700,54800,1.108,145,145,3,61
E00057,2022-05-19,,,,IT,Milan,Operations,L3,F,27,Permanent,Hybrid,1.0,37050,39500,0.938,49,37,3,63
E00058,2025-11-20,,,,PL,Krakow,Operations,L1,M,33,Permanent,Remote,1.0,16650,20000,0.833,7,7,4,47
E00059,2024-07-11,,,,DE,Munich,Customer Service,L2,F,38,Permanent,Hybrid,1.0,41600,42800,0.972,23,23,4,78
E00060,2025-10-02,2026-02-26,Voluntary,Better external offer,PL,Krakow,Customer Service,L4,F,27,Permanent,Onsite,1.0,34850,39700,0.878,4,4,3,71
E00061,2025-11-24,,,,PL,Krakow,Sales,L1,M,26,Fixed-term,Onsite,1.0,21550,22000,0.98,7,7,4,77
E00062,2020-10-16,,,,IT,Milan,Operations,L5,F,34,Fixed-term,Remote,1.0,71050,71600,0.992,68,10,3,76
E00063,2022-01-18,,,,IT,Milan,Customer Service,L3,M,28,Permanent,Onsite,1.0,39750,37400,1.063,53,27,4,52
E00064,2026-01-20,,,,IT,Milan,Operations,L2,F,36,Permanent,Hybrid,0.8,26700,30900,0.864,5,5,4,64
E00065,2018-11-12,2025-07-05,Voluntary,Personal reasons,ES,Barcelona,Tech,L3,M,42,Permanent,Hybrid,1.0,40500,50000,0.81,80,3,3,60
E00066,2019-07-26,,,,PL,Krakow,Sales,L3,M,37,Permanent,Onsite,1.0,32950,35300,0.933,83,5,3,50
E00067,2021-05-02,,,,IT,Milan,Customer Service,L3,F,41,Permanent,Hybrid,1.0,40950,37400,1.095,61,32,3,57
E00068,2024-01-07,,,,PL,Krakow,Tech,L2,M,24,Permanent,Onsite,0.8,33600,32800,1.024,29,15,3,90
E00069,2025-04-14,,,,IT,Milan,HR,L3,M,37,Permanent,Remote,1.0,43150,41600,1.037,14,4,4,72
E00070,2024-07-30,,,,ES,Barcelona,Tech,L3,M,45,Permanent,Onsite,1.0,59300,50000,1.186,23,23,3,72
E00071,2021-04-19,2026-05-03,Voluntary,Personal reasons,IT,Milan,Finance,L3,F,20,Permanent,Onsite,1.0,45700,45800,0.998,61,33,3,60
E00072,2023-10-24,,,,DE,Munich,Tech,L1,M,29,Permanent,Remote,1.0,41350,47500,0.871,32,32,5,55
E00073,2025-12-31,,,,PL,Krakow,Sales,L3,F,26,Permanent,Onsite,1.0,30950,35300,0.877,6,6,3,50
E00074,2024-03-01,,,,PL,Krakow,Sales,L3,F,36,Fixed-term,Hybrid,1.0,30000,35300,0.85,27,4,3,53
E00075,2022-07-20,,,,PL,Krakow,Finance,L2,M,39,Permanent,Hybrid,1.0,30200,28900,1.045,47,24,4,71
E00076,2024-07-02,,,,IT,Milan,Operations,L5,M,22,Permanent,Onsite,1.0,79400,71600,1.109,23,16,3,68
E00077,2016-01-06,,,,PL,Krakow,Operations,L1,F,53,Permanent,Hybrid,1.0,21350,20000,1.067,125,31,3,49
E00078,2022-09-22,,,,PL,Krakow,Customer Service,L1,M,26,Permanent,Hybrid,1.0,20750,18900,1.098,45,45,4,67
E00079,2015-10-14,,,,DE,Munich,Operations,L4,F,49,Permanent,Hybrid,1.0,69000,75800,0.91,128,128,3,43
E00080,2026-01-04,2026-02-27,Involuntary,Performance,PL,Krakow,HR,L3,F,30,Fixed-term,Hybrid,1.0,29400,33600,0.875,1,1,3,55
E00081,2016-10-20,,,,IT,Milan,HR,L2,F,42,Fixed-term,Hybrid,0.8,33400,32500,1.028,116,31,3,51
E00082,2024-04-06,,,,IT,Milan,Customer Service,L5,M,36,Permanent,Hybrid,1.0,70850,67900,1.043,26,26,4,61
E00083,2025-05-21,,,,IT,Milan,Customer Service,L2,M,27,Permanent,Onsite,1.0,27650,29200,0.947,13,13,1,61
E00084,2025-04-02,2025-12-21,Voluntary,Compensation,PL,Krakow,Sales,L2,F,34,Fixed-term,Onsite,1.0,23900,27600,0.866,8,0,4,61
E00085,2025-05-06,,,,DE,Munich,Customer Service,L3,F,34,Permanent,Hybrid,0.8,54950,54700,1.005,13,13,3,84
E00086,2024-07-12,,,,DE,Munich,Customer Service,L4,F,34,Permanent,Onsite,1.0,79200,71800,1.103,23,23,2,69
E00087,2025-02-21,2025-09-09,Involuntary,End of fixed-term contract,IT,Milan,Customer Service,L1,F,28,Fixed-term,Remote,1.0,20550,23400,0.878,7,7,5,75
E00088,2022-02-03,,,,IT,Milan,Tech,L2,M,37,Permanent,Hybrid,1.0,38500,40600,0.948,52,17,4,76
E00089,2024-10-08,,,,PL,Krakow,Operations,L1,F,36,Permanent,Hybrid,1.0,21200,20000,1.06,20,9,3,84
E00090,2024-01-13,,,,ES,Barcelona,Operations,L1,M,45,Fixed-term,Onsite,1.0,19600,23800,0.824,29,16,3,56
E00091,2012-07-07,,,,DE,Munich,Customer Service,L2,F,60,Permanent,Onsite,1.0,43950,42800,1.027,167,26,2,85
E00092,2013-09-13,,,,PL,Krakow,Sales,L4,F,44,Permanent,Onsite,1.0,46500,46300,1.004,153,32,2,60
E00093,2025-03-16,2025-08-26,Voluntary,Compensation,PL,Krakow,Operations,L1,M,39,Permanent,Hybrid,1.0,18300,20000,0.915,5,5,3,57
E00094,2019-10-26,,,,IT,Milan,Tech,L3,M,56,Permanent,Hybrid,1.0,58800,52000,1.131,80,80,3,59
E00095,2020-08-13,,,,PL,Krakow,Tech,L2,F,39,Permanent,Hybrid,1.0,34200,32800,1.043,70,16,3,56
E00096,2024-04-06,,,,IT,Milan,Operations,L3,F,42,Fixed-term,Hybrid,1.0,41850,39500,1.059,26,21,4,68
E00097,2024-02-11,,,,IT,Milan,HR,L2,M,37,Permanent,Hybrid,1.0,32950,32500,1.014,28,21,3,75
E00098,2024-10-18,,,,PL,Krakow,Finance,L3,M,29,Permanent,Hybrid,1.0,38600,37000,1.043,20,16,3,70
E00099,2025-09-11,,,,PL,Krakow,HR,L2,F,34,Permanent,Hybrid,1.0,24450,26200,0.933,9,9,3,83
E00100,2020-02-21,,,,ES,Barcelona,Sales,L2,F,38,Permanent,Hybrid,1.0,33200,32800,1.012,76,76,3,49
E00101,2023-05-31,2026-05-05,Voluntary,Career progression,PL,Krakow,Customer Service,L3,M,39,Permanent,Remote,1.0,34300,30200,1.136,36,36,3,53
E00102,2024-05-15,,,,IT,Milan,Operations,L1,M,37,Permanent,Hybrid,1.0,24250,24700,0.982,25,25,3,61
E00103,2021-10-22,,,,ES,Barcelona,Operations,L2,M,20,Permanent,Hybrid,1.0,31200,29700,1.051,56,48,4,55
E00104,2025-02-16,,,,PL,Krakow,Tech,L5,M,41,Permanent,Hybrid,1.0,72500,76100,0.953,16,16,3,80
E00105,2022-05-19,,,,PL,Krakow,Customer Service,L2,M,38,Fixed-term,Hybrid,1.0,24950,23600,1.057,49,49,2,65
E00106,2022-06-14,,,,IT,Milan,HR,L5,F,40,Permanent,Onsite,1.0,91750,75400,1.217,48,8,3,67
E00107,2017-04-11,,,,ES,Barcelona,Customer Service,L4,F,50,Fixed-term,Hybrid,1.0,53750,47200,1.139,110,110,3,48
E00108,2025-10-08,,,,PL,Krakow,Tech,L2,M,29,Permanent,Hybrid,1.0,31800,32800,0.97,8,8,4,74
E00109,2025-12-05,2026-04-11,Voluntary,Better external offer,ES,Barcelona,Finance,L4,M,22,Fixed-term,Hybrid,1.0,55200,57800,0.955,4,4,3,82
E00110,2024-04-20,2025-11-12,Voluntary,Better external offer,IT,Milan,Operations,L1,M,40,Permanent,Hybrid,1.0,23100,24700,0.935,19,4,3,75
E00111,2024-02-20,,,,DE,Munich,Tech,L2,M,37,Permanent,Onsite,1.0,53350,59400,0.898,28,15,3,49
E00112,2019-08-20,,,,ES,Barcelona,Customer Service,L2,F,33,Permanent,Onsite,1.0,27850,28100,0.991,82,22,3,66
E00113,2023-07-11,,,,DE,Munich,Operations,L4,M,34,Fixed-term,Remote,1.0,77500,75800,1.022,35,13,2,75
E00114,2017-09-01,,,,ES,Barcelona,Operations,L4,M,40,Permanent,Hybrid,1.0,46900,49900,0.94,105,105,3,61
E00115,2023-07-26,,,,IT,Milan,Customer Service,L2,M,27,Permanent,Remote,1.0,30450,29200,1.043,35,5,3,54
E00116,2022-03-07,,,,IT,Milan,Customer Service,L3,F,35,Permanent,Remote,1.0,39100,37400,1.045,51,51,3,67
E00117,2025-04-20,,,,PL,Krakow,Tech,L3,F,27,Permanent,Onsite,1.0,41050,42000,0.977,14,14,3,68
E00118,2024-08-04,,,,DE,Munich,Operations,L2,M,24,Permanent,Onsite,1.0,46300,45100,1.027,22,18,3,64
E00119,2019-12-23,,,,IT,Milan,Customer Service,L3,M,48,Permanent,Hybrid,1.0,39500,37400,1.056,78,78,4,57
E00120,2025-08-22,,,,IT,Milan,Finance,L2,M,33,Fixed-term,Onsite,1.0,33800,35800,0.944,10,10,4,70
E00121,2024-02-22,,,,PL,Krakow,Operations,L2,F,40,Permanent,Hybrid,1.0,21050,24900,0.845,28,10,2,75
E00122,2020-01-19,,,,PL,Krakow,Customer Service,L2,F,38,Permanent,Onsite,1.0,26700,23600,1.131,77,21,4,73
E00123,2023-07-02,,,,IT,Milan,Finance,L6,M,34,Permanent,Remote,1.0,103450,114400,0.904,35,35,3,39
E00124,2024-03-17,,,,PL,Krakow,Tech,L3,M,41,Permanent,Hybrid,1.0,43500,42000,1.036,27,17,3,69
E00125,2024-08-01,,,,PL,Krakow,Customer Service,L3,F,24,Fixed-term,Hybrid,1.0,31400,30200,1.04,22,17,3,55
E00126,2025-09-12,,,,PL,Krakow,Tech,L1,F,24,Fixed-term,Remote,1.0,29450,26200,1.124,9,9,4,63
E00127,2022-09-26,,,,ES,Barcelona,Tech,L2,M,40,Permanent,Onsite,1.0,39200,39100,1.003,45,45,2,61
E00128,2025-07-23,2025-10-24,Voluntary,Personal reasons,PL,Krakow,Finance,L2,M,26,Fixed-term,Hybrid,1.0,25200,28900,0.872,3,3,3,50
E00129,2025-05-12,2026-01-22,Voluntary,Relocation,PL,Krakow,Tech,L4,M,26,Fixed-term,Onsite,1.0,46600,55100,0.846,8,8,3,53
E00130,2026-05-11,,,,PL,Krakow,Sales,L2,F,35,Permanent,Hybrid,1.0,25000,27600,0.906,1,1,2,54
E00131,2021-10-07,,,,ES,Barcelona,Customer Service,L2,M,40,Permanent,Hybrid,1.0,31000,28100,1.103,56,8,3,74
E00132,2025-10-09,,,,IT,Milan,Customer Service,L3,M,20,Fixed-term,Hybrid,1.0,38750,37400,1.036,8,8,4,64
E00133,2024-08-22,,,,PL,Krakow,Sales,L2,F,27,Permanent,Hybrid,1.0,27150,27600,0.984,22,12,2,70
E00134,2022-01-08,,,,DE,Munich,Tech,L5,M,50,Permanent,Onsite,1.0,151500,137800,1.099,53,53,3,62
E00135,2023-06-26,,,,PL,Krakow,Operations,L3,M,26,Permanent,Remote,1.0,31550,31900,0.989,36,20,2,56
E00136,2024-06-24,,,,DE,Munich,Customer Service,L6,M,36,Permanent,Hybrid,1.0,138500,136800,1.012,24,15,3,79
E00137,2024-03-03,,,,PL,Krakow,Operations,L1,F,36,Permanent,Onsite,0.8,18450,20000,0.922,27,12,2,60
E00138,2025-10-23,,,,IT,Milan,Sales,L1,F,29,Fixed-term,Hybrid,0.8,26200,27300,0.96,8,8,3,65
E00139,2022-03-24,2025-09-07,Voluntary,Manager / leadership,PL,Krakow,Customer Service,L3,F,40,Permanent,Onsite,1.0,27250,30200,0.902,42,42,3,43
E00140,2025-12-14,2026-03-15,Voluntary,Compensation,ES,Barcelona,Operations,L2,F,35,Fixed-term,Onsite,1.0,23250,29700,0.783,3,3,2,55
E00141,2024-10-20,2025-09-10,Voluntary,Work-life balance,DE,Munich,Operations,L2,F,44,Permanent,Hybrid,1.0,39400,45100,0.874,11,11,3,46
E00142,2023-05-13,,,,ES,Barcelona,Operations,L1,F,26,Permanent,Hybrid,1.0,25950,23800,1.09,37,37,4,73
E00143,2023-09-02,,,,IT,Milan,Operations,L3,M,20,Permanent,Onsite,1.0,37950,39500,0.961,33,15,3,75
E00144,2019-08-26,,,,IT,Milan,Finance,L1,F,46,Permanent,Onsite,1.0,27100,28600,0.948,82,82,3,53
E00145,2025-02-09,,,,IT,Milan,Customer Service,L1,F,35,Permanent,Remote,1.0,24750,23400,1.058,16,6,4,70
E00146,2025-02-25,,,,DE,Munich,Sales,L1,F,26,Fixed-term,Hybrid,1.0,38250,39900,0.959,16,12,4,80
E00147,2026-03-23,,,,ES,Barcelona,Operations,L5,M,33,Permanent,Onsite,1.0,61500,68900,0.893,3,3,5,48
E00148,2020-09-23,,,,IT,Milan,Tech,L1,M,41,Permanent,Hybrid,1.0,36300,32500,1.117,69,20,1,69
E00149,2025-02-07,2025-10-15,Voluntary,Compensation,IT,Milan,Tech,L1,M,22,Fixed-term,Onsite,1.0,28150,32500,0.866,8,6,3,52
E00150,2026-05-03,,,,IT,Milan,Tech,L2,F,33,Fixed-term,Hybrid,1.0,36750,40600,0.905,1,1,2,71
E00151,2025-09-30,,,,DE,Munich,Sales,L1,M,35,Fixed-term,Onsite,1.0,40250,39900,1.009,9,9,3,70
E00152,2024-03-07,,,,IT,Milan,Customer Service,L3,F,37,Permanent,Onsite,1.0,39450,37400,1.055,27,17,4,63
E00153,2018-02-14,,,,PL,Krakow,Sales,L2,F,40,Permanent,Remote,1.0,31200,27600,1.13,100,100,3,65
E00154,2012-07-18,,,,PL,Krakow,Tech,L1,F,44,Permanent,Onsite,1.0,27050,26200,1.032,167,26,3,65
E00155,2023-12-25,,,,PL,Krakow,Tech,L2,F,25,Permanent,Onsite,1.0,36400,32800,1.11,30,12,3,65
E00156,2022-05-05,,,,ES,Barcelona,Customer Service,L3,F,28,Permanent,Remote,1.0,31750,36000,0.882,49,30,3,40
E00157,2020-09-01,,,,IT,Milan,Finance,L3,F,43,Permanent,Hybrid,1.0,45350,45800,0.99,69,69,4,69
E00158,2026-01-30,,,,ES,Barcelona,Tech,L1,M,21,Fixed-term,Remote,1.0,29250,31200,0.938,5,5,3,59
E00159,2026-02-15,,,,PL,Krakow,Operations,L3,F,36,Permanent,Hybrid,1.0,29250,31900,0.917,4,4,4,54
E00160,2021-10-11,,,,PL,Krakow,Operations,L2,M,27,Permanent,Remote,1.0,25800,24900,1.036,56,14,1,72
E00161,2022-05-23,,,,DE,Munich,Finance,L5,F,38,Permanent,Remote,1.0,150550,121200,1.242,49,11,3,69
E00162,2023-04-19,,,,PL,Krakow,Finance,L2,M,45,Permanent,Remote,1.0,31200,28900,1.08,38,38,3,71
E00163,2025-05-18,,,,DE,Munich,Operations,L2,F,31,Fixed-term,Hybrid,1.0,44850,45100,0.994,13,13,4,81
E00164,2023-03-27,,,,IT,Milan,Sales,L2,M,36,Permanent,Hybrid,1.0,36300,34100,1.065,39,13,5,76
E00165,2026-01-25,,,,DE,Munich,Customer Service,L2,M,34,Permanent,Remote,1.0,41850,42800,0.978,5,5,3,62
E00166,2019-08-02,,,,IT,Milan,Tech,L4,F,30,Permanent,Onsite,1.0,69650,68200,1.021,82,82,1,52
E00167,2023-01-08,,,,IT,Milan,Customer Service,L4,F,39,Permanent,Hybrid,1.0,46350,49100,0.944,41,41,3,50
E00168,2023-11-10,2025-07-13,Voluntary,Better external offer,PL,Krakow,Customer Service,L2,M,32,Permanent,Hybrid,1.0,24300,23600,1.03,20,20,4,59
E00169,2025-11-07,2026-02-21,Involuntary,Restructuring,PL,Krakow,Sales,L6,M,33,Fixed-term,Onsite,1.0,70300,88200,0.797,3,3,3,39
E00170,2023-02-10,,,,IT,Milan,Operations,L3,F,32,Permanent,Remote,1.0,38150,39500,0.966,40,18,3,68
E00171,2025-09-21,2026-01-19,Voluntary,Manager / leadership,IT,Milan,Operations,L1,M,31,Fixed-term,Hybrid,1.0,19250,24700,0.779,4,4,2,60
E00172,2024-12-05,,,,IT,Milan,Sales,L3,M,26,Permanent,Hybrid,1.0,44900,43700,1.027,18,12,4,72
E00173,2025-11-21,,,,DE,Munich,Operations,L3,F,21,Permanent,Onsite,1.0,62550,57800,1.082,7,7,5,83
E00174,2025-06-01,,,,IT,Milan,Sales,L1,M,30,Permanent,Hybrid,0.8,22750,27300,0.833,12,12,3,42
E00175,2018-12-12,,,,PL,Krakow,Operations,L1,F,23,Permanent,Onsite,1.0,20600,20000,1.03,90,90,2,51
E00176,2021-09-01,,,,ES,Barcelona,Customer Service,L1,F,47,Permanent,Hybrid,1.0,22350,22500,0.993,57,25,3,58
E00177,2022-08-02,,,,PL,Krakow,Tech,L5,M,20,Permanent,Hybrid,0.8,73000,76100,0.959,46,15,3,70
E00178,2025-02-14,,,,IT,Milan,Customer Service,L1,M,35,Permanent,Hybrid,1.0,25600,23400,1.094,16,16,2,71
E00179,2022-04-12,2025-07-03,Voluntary,Relocation,PL,Krakow,Customer Service,L3,F,35,Permanent,Onsite,1.0,28750,30200,0.952,39,39,3,45
E00180,2023-09-24,,,,PL,Krakow,Customer Service,L4,M,38,Fixed-term,Hybrid,1.0,40700,39700,1.025,33,9,3,69
E00181,2023-04-22,,,,DE,Munich,Customer Service,L4,F,44,Permanent,Hybrid,1.0,74900,71800,1.043,38,38,3,45
E00182,2023-02-02,,,,PL,Krakow,Operations,L2,F,37,Permanent,Onsite,1.0,24750,24900,0.994,40,40,3,65
E00183,2022-06-09,,,,IT,Milan,Customer Service,L1,F,44,Permanent,Hybrid,1.0,24300,23400,1.038,48,48,4,77
E00184,2021-06-09,,,,DE,Munich,HR,L1,F,26,Permanent,Hybrid,1.0,40650,38000,1.07,60,31,4,53
E00185,2019-05-30,,,,IT,Milan,Operations,L2,F,38,Permanent,Hybrid,1.0,29950,30900,0.969,85,85,3,67
E00186,2024-01-26,,,,PL,Krakow,HR,L3,F,27,Permanent,Hybrid,1.0,33050,33600,0.984,29,7,1,74
E00187,2022-08-26,,,,IT,Milan,Customer Service,L1,F,38,Fixed-term,Onsite,1.0,23350,23400,0.998,46,3,3,56
E00188,2025-05-21,2025-10-21,Voluntary,Career progression,DE,Munich,Operations,L2,F,26,Fixed-term,Remote,1.0,38700,45100,0.858,5,5,4,54
E00189,2025-01-19,,,,DE,Munich,Operations,L2,F,38,Fixed-term,Onsite,1.0,41050,45100,0.91,17,14,4,51
E00190,2024-05-31,,,,DE,Munich,Tech,L6,M,44,Permanent,Onsite,1.0,191400,190000,1.007,25,16,3,64
E00191,2023-12-23,,,,IT,Milan,Tech,L2,F,37,Permanent,Hybrid,1.0,38800,40600,0.956,30,30,3,54
E00192,2023-12-18,,,,PL,Krakow,Customer Service,L2,M,29,Permanent,Hybrid,1.0,22750,23600,0.964,30,16,3,64
E00193,2025-08-04,,,,PL,Krakow,HR,L4,M,26,Fixed-term,Onsite,1.0,42100,44100,0.955,10,10,3,63
E00194,2022-11-14,,,,PL,Krakow,Sales,L1,M,37,Permanent,Hybrid,1.0,22950,22000,1.043,43,43,4,76
E00195,2024-08-04,,,,IT,Milan,Sales,L2,F,41,Permanent,Onsite,1.0,35350,34100,1.037,22,12,3,85
E00196,2026-05-04,,,,DE,Munich,Customer Service,L4,M,33,Fixed-term,Onsite,1.0,65950,71800,0.919,1,1,3,39
E00197,2026-05-14,,,,PL,Krakow,Customer Service,L1,M,22,Fixed-term,Onsite,1.0,16550,18900,0.876,1,1,3,39
E00198,2022-02-02,,,,PL,Krakow,Customer Service,L4,F,31,Permanent,Remote,1.0,40100,39700,1.01,52,17,3,71
E00199,2026-03-18,,,,DE,Munich,Operations,L1,F,33,Permanent,Hybrid,1.0,33300,36100,0.922,3,3,3,70
E00200,2020-10-23,,,,IT,Milan,Customer Service,L1,F,40,Permanent,Hybrid,1.0,20250,23400,0.865,68,17,4,53
E00201,2024-01-21,,,,PL,Krakow,Operations,L1,F,40,Permanent,Hybrid,1.0,17850,20000,0.892,29,5,4,67
E00202,2025-01-20,,,,DE,Munich,Tech,L1,F,34,Permanent,Remote,1.0,36950,47500,0.778,17,4,3,50
